33.00, 3, orange, Exit
34.05, 3, orange, Entry
34.00, 3, yellow, Exit
35.01, 3, yellow, Entry
34.00, 3, orange, Exit
35.02, 3, orange, Entry
35.00, 3, yellow, Exit
36.01, 3, yellow, Entry
35.00, 3, orange, Exit
36.01, 3, orange, Entry
36.00, 3, yellow, Exit
37.01, 3, yellow, Entry
36.00, 3, orange, Exit
37.03, 3, orange, Entry
